가,可; 家; 加; 价; 假; 哥; 架; 歌; 街; 驾; 佳; 嘉; 呵; 柯; 贾; 嫁; 咖; 迦; 伽; 暇; 稼; 苛; 茄; 珂; 枷; 诃; 轲; 坷; 瘸; 袈; 痂; 舸; 珈; 岢; 跏; 笳; 髂; 葭; 哿; 镓; 蚵; 瘕; 鲄; 麚; 砢; 豭; 貑; 腵; 尜; 跒; 價; 駕; 傢; 賈
가가,假家; 哥哥; 呵呵; 家家; 可可; 加价; 佳佳; 可嘉; 可加; 贾家
가가가읍,可歌可泣
가가대소,呵呵大笑
가가률,加价率
가가림,加加林
가가문,哥哥们
가가서리,可可西里
가가유,加加油
가가유본난념적경,家家有本难念的经
가가호호,家家户户
가각,苛刻
가간성,可看性
가감,加减
가감법,加减法
가강,加强; 贾康; 假腔
가강시,加强市
가강지구,加强地区
가강형,加强型
가개,加盖
가객,歌客
가거주,假居住
가건명,柯建铭
가건물,假建物
가검물,可检物
가격,价格; 加击
가격법,价格法
가견,可见; 家犬
가견광,可见光
가견도,可见度
가견일반,可见一斑
가결,可决
가경,可敬; 嘉庆; 佳境; 加劲; 可劲; 佳景; 柯庆
가경등,柯景腾
가경림,贾庆林
가경빈한,家境贫寒
가경지,可耕地
가경취숙,驾轻就熟
가계,家系; 家计
가계부,家计簿
가계비,家计费
가계성,家计性
가계약,假契约
가계약서,假契约书
가계윤,贾启允
가고,可靠; 加固; 加高
가고도,可靠度
가고성,可靠性
가고자,价高者
가곡,歌曲
가곡장,歌曲奖
가곡집,歌曲集
가골,髂骨
가공,加工; 可恐; 架空; 可供
가공과,加工科
가공구,加工区
가공규,可控硅
가공량,加工量
가공법,加工法
가공비,加工费
가공성,加工性; 可控性
가공송덕,歌功颂德
가공업,加工业
가공인물,架空人物
가공장,加工场
가공적,架空的
가공제사,假公济私
가공창,加工厂
가공품,加工品
가공학과,加工学科
가공형,加工型
가공형적,加工形的
가과,家伙
가과문,家伙们
가관,可观; 价款; 加宽; 加官
가관리성,可管理性
가교,架桥; 驾校; 可巧
가교적,架桥的
가구,家具; 家口; 架构; 可口; 苛求; 佳句; 家仇
가구가락,可口可乐
가구상,家具商
가구업,家具业
가구업체,家具业体
가구점,家具店
가국송,贾国荣
가군,贾军
가권,加权; 家眷
가귀,可贵
가극,歌剧; 加剧; 茄克; 柯克
가극원,歌剧院
가금,家禽
가금업,家禽业
가급,加给; 加急
가급적,可及的
가기,假期; 架起; 可气; 佳期; 可欺; 柯基
가기래,加起来
가긴,加紧
가나,可那
가나대,加拿大
가나대대,加拿大队
가나대원,加拿大元
가나대참,加拿大站
가나대통계국,加拿大统计局
가나리군도,加那利群岛
가난,家难
가남,柯南
가남극장,柯南剧场
가남덕랍,贾南德拉
가납,加纳
가납대,加纳队
가납비,贾纳比
가납촌,加纳村
가내,家内
가내량,贾乃亮
가내적,家内的
가내특,加内特
가녀,歌女
가녀사,贾女士
가년화,嘉年华
가노,家奴
가농포,加农炮
가능,可能; 佳能
가능공사,佳能公司
가능성,可能性
가능액,可能额
가니,贾妮
가니잡,柯尼卡
가다,可多
가단,歌坛; 假单; 歌单
가담,加担
가담자,加担者
가담항설,街谈巷说
가담항의,街谈巷议
가당,可当
가대,加大; 价带
가대가소,可大可小
가덕,歌德; 贾德
가덕납,加德纳
가덕만도,加德满都
가덕보,哥德堡
가도,街道; 假道
가도사벽,家徒四壁
가도색,加图索
가도중락,家道中落
가도판사처,街道办事处
가독성,可读性
가동,可动; 稼动; 贾童
가동률,稼动率; 稼动率
가동비,可动费
가동성,可动性
가동주졸,街童走卒
가두,街头
가두항미,街头巷尾
가득,可得
가득주,架得住
가등,街灯; 柯腾
가락,可乐
가락복,家乐福
가람,伽蓝; 柯蓝
가랍,加拉
가랍가사,加拉加斯
가랍사,加拉斯
가량,假量
가려,佳丽
가려문,佳丽们
가련,可怜; 贾琏
가렴물미,价廉物美
가렴주구,苛敛诛求
가령,假令; 可怜
가령파파,可怜巴巴
가령훼,可怜虫
가례,嘉礼
가로,街路; 贾老
가로계,街路系
가로등,街路灯
가로림만,加露林湾
가로망,街路网
가로사,柯老师; 贾老师
가로수,街路树
가료,加料
가루,家累
가륜,加仑
가륜비아,哥伦比亚
가륜비아광파공사,哥伦比亚广播公司
가륜비아대,哥伦比亚队
가륜비아대학,哥伦比亚大学
가륜비아성,哥伦比亚省
가륜비아특구,哥伦比亚特区
가륜포,哥伦布
가륵,加勒
가륵비,加勒比
가륵비지구,加勒比地区
가륵비해,加勒比海
가륵비해지구,加勒比海地区
가릉,嘉陵
가릉강,嘉陵江
가리,家里; 咖喱; 加里; 咖哩; 加利
가리략,伽利略
가리복니아,加利福尼亚
가리복니아대학,加利福尼亚大学
가리복니아주,加利福尼亚州
가리아니,加利亚尼
가리앙,柯里昂
가림,贾林; 柯林
가림사,柯林斯
가립지,柯立芝
가마,价码; 加码; 柯玛; 伽玛
가망,可望
가망부가급,可望不可及
가망이부가즉,可望而不可即
가매,假寐
가매장,假埋葬
가맹,加盟
가맹공화국,加盟共和国
가맹비,加盟费
가맹사,加盟社
가맹자,加盟者
가맹점,加盟店
가면,假面; 加冕
가면관,假面馆
가면구,假面具
가면극,假面剧
가면무,假面舞
가명,假名; 歌名; 贾明
가명제,假名制
가모,假冒; 贾母; 贾某; 家母; 柯某
가모위렬,假冒伪劣
가목,价目
가목사,佳木斯
가목사시,佳木斯市
가목표,价目表
가묘,家庙
가무,歌舞; 家务; 街舞
가무극,歌舞剧
가무기,歌舞伎
가무단,歌舞团
가무류,歌舞类
가무사,家务事
가무승평,歌舞升平
가무청,歌舞厅
가문,家门
가문군,贾文军
가문붕,贾文鹏
가문아,哥们儿
가미,加味; 歌迷; 佳美
가미문,歌迷们
가미삼,贾米森
가밀,加密
가밀절,可密切
가반,加班; 柯半
가반가,加班加
가반가점,加班加点
가반비,加班费
가발,假发
가발표,假发票
가방,街坊
가방문,街坊们
가배,咖啡; 加倍
가배두,咖啡豆
가배배,咖啡杯
가배색,咖啡色
가배인,咖啡因
가배점,咖啡店
가배청,咖啡厅
가배파,咖啡吧
가백니,哥白尼
가벌성,加罚性
가법,加法
가법리,贾法里
가변,可变
가변구,可变区
가변선,可变线
가변성,可变性
가변식,可变式
가변적,可变的
가별,可别
가보,家宝; 家谱; 歌谱
가보옥,贾宝玉
가보홍,贾宝红
가본,歌本
가본합근,哥本哈根
