frequency_rank,character,pinyin
1,的,de
2,了,le
3,在,zai
4,是,shi
5,我,wo
6,和,he
7,有,you
8,你,ni
9,个,ge
10,也,ye
11,这,zhe
12,不,bu
13,他,ta
14,上,shang
15,人,ren
16,中,zhong
17,就,jiu
18,年,nian
19,为,wei
20,对,dui
21,说,shuo
22,都,dou
23,要,yao
24,到,dao
25,着,zhe
26,与,yu
27,将,jiang
28,日,ri
29,我们,wo men
30,好,hao
31,月,yue
32,会,hui
33,大,da
34,来,lai
35,还,hai
36,等,deng
37,而,er
38,地,di
39,自己,zi ji
40,后,hou
41,两,liang
42,被,bei
43,没有,mei you
44,去,qu
45,但,dan
46,从,cong
47,很,hen
48,给,gei
49,时,shi
50,以,yi
51,中国,zhong guo
52,元,yuan
53,看,kan
54,啊,a
55,下,xia
56,她,ta
57,又,you
58,可以,ke yi
59,把,ba
60,这个,zhe ge
61,能,neng
62,他们,ta men
63,做,zuo
64,出,chu
65,得,de
66,让,rang
67,想,xiang
68,那,na
69,新,xin
70,发展,fa zhan
71,过,guo
72,就是,jiu shi
73,之,zhi
74,小,xiao
75,用,yong
76,天,tian
77,工作,gong zuo
78,进行,jin xing
79,记者,ji zhe
80,里,li
81,最,zui
82,并,bing
83,前,qian
84,公司,gong si
85,已经,yi jing
86,问题,wen ti
87,企业,qi ye
88,家,jia
89,吧,ba
90,什么,shen me
91,没,mei
92,次,ci
93,可,ke
94,其,qi
95,现在,xian zai
96,向,xiang
97,于,yu
98,真,zhen
99,这样,zhe yang
100,已,yi
101,该,gai
102,市场,shi chang
103,本,ben
104,名,ming
105,太,tai
106,再,zai
107,所,suo
108,因为,yin wei
109,种,zhong
110,不是,bu shi
111,时间,shi jian
112,还是,hai shi
113,位,wei
114,比,bi
115,内,nei
116,如果,ru guo
117,及,ji
118,更,geng
119,道,dao
120,爱,ai
121,却,que
122,国家,guo jia
123,经济,jing ji
124,高,gao
125,手,shou
126,开始,kai shi
127,或,huo
128,吃,chi
129,时候,shi hou
130,由,you
131,呢,ne
132,只,zhi
133,目前,mu qian
134,今天,jin tian
135,它,ta
136,活动,huo dong
137,分,fen
138,使,shi
139,管理,guan li
140,一些,yi xie
141,起,qi
142,通过,tong guo
143,这些,zhe xie
144,才,cai
145,市,shi
146,美国,mei guo
147,大家,da jia
148,但是,dan shi
149,吗,ma
150,走,zou
151,可能,ke neng
152,社会,she hui
153,表示,biao shi
154,据,ju
155,情况,qing kuang
156,都是,dou shi
157,需要,xu yao
158,不能,bu neng
159,生活,sheng huo
160,当,dang
161,认为,ren wei
162,各,ge
163,同时,tong shi
164,建设,jian she
165,成,cheng
166,打,da
167,发现,fa xian
168,几,ji
169,网,wang
170,事,shi
171,世界,shi jie
172,政府,zheng fu
173,重要,zhong yao
174,这种,zhe zhong
175,成为,cheng wei
176,看到,kan dao
177,今年,jin nian
178,技术,ji shu
179,喜欢,xi huan
180,还有,hai you
181,产品,chan pin
182,无,wu
183,知道,zhi dao
184,主要,zhu yao
185,出现,chu xian
186,机,ji
187,至,zhi
188,一定,yi ding
189,车,che
190,要求,yao qiu
191,由于,you yu
192,所以,suo yi
193,心,xin
194,长,zhang
195,方面,fang mian
196,跟,gen
197,怎么,zen me
198,话,hua
199,希望,xi wang
200,生产,sheng chan
201,外,wai
202,谁,shui
203,北京,bei jing
204,你们,ni men
205,见,jian
206,找,zhao
207,一起,yi qi
208,影响,ying xiang
209,像,xiang
210,带,dai
211,国际,guo ji
212,价格,jia ge
213,啦,la
214,比赛,bi sai
215,投资,tou zi
216,如,ru
217,那么,na me
218,研究,yan jiu
219,岁,sui
220,美,mei
221,则,ze
222,水,shui
223,起来,qi lai
224,快,kuai
225,非常,fei chang
226,一直,yi zhi
227,不会,bu hui
228,应该,ying gai
229,买,mai
230,开,kai
231,觉得,jue de
232,部门,bu men
233,为了,wei le
234,发生,fa sheng
235,作为,zuo wei
236,提高,ti gao
237,这么,zhe me
238,不要,bu yao
239,博,bo
240,部,bu
241,场,chang
242,股,gu
243,其中,qi zhong
244,服务,fu wu
245,不过,bu guo
246,死,si
247,虽然,sui ran
248,以及,yi ji
249,有关,you guan
250,报,bao
251,结果,jie guo
252,对于,dui yu
253,教育,jiao yu
254,号,hao
255,笑,xiao
256,组织,zu zhi
257,只有,zhi you
258,城市,cheng shi
259,很多,hen duo
260,人员,ren yuan
261,而且,er qie
262,作,zuo
263,条,tiao
264,必须,bi xu
265,发,fa
266,微,wei
267,其他,qi ta
268,叫,jiao
269,最后,zui hou
270,同,tong
271,提供,ti gong
272,只是,zhi shi
273,不同,bu tong
274,项目,xiang mu
275,因此,yin ci
276,学生,xue sheng
277,支持,zhi chi
278,使用,shi yong
279,哈哈,ha ha
280,之后,zhi hou
281,应,ying
282,上海,shang hai
283,参加,can jia
284,钱,qian
285,请,qing
286,自,zi
287,问,wen
288,继续,ji xu
289,老,lao
290,文化,wen hua
291,包括,bao kuo
292,组,zu
293,全国,quan guo
294,孩子,hai zi
295,得到,de dao
296,比较,bi jiao
297,人民,ren min
298,关系,guan xi
299,省,sheng
300,获得,huo de
301,听,ting
302,图,tu
303,总,zong
304,回,hui
305,我国,wo guo
306,哦,o
307,出来,chu lai
308,张,zhang
309,增加,zeng jia
310,能力,neng li
311,选择,xuan ze
312,增长,zeng zhang
313,进入,jin ru
314,区,qu
315,例,li
316,一样,yi yang
317,了解,liao jie
318,所有,suo you
319,因,yin
320,系统,xi tong
321,女,nv
322,根据,gen ju
323,一下,yi xia
324,地方,di fang
325,报道,bao dao
326,周,zhou
327,电,dian
328,每,mei
329,米,mi
330,身,shen
331,其实,qi shi
332,规定,gui ding
333,款,kuan
334,东西,dong xi
335,路,lu
336,正在,zheng zai
337,此,ci
338,这里,zhe li
339,项,xiang
340,未,wei
341,放,fang
342,方式,fang shi
343,作用,zuo yong
344,美元,mei yuan
345,解决,jie jue
346,受,shou
347,住,zhu
348,头,tou
349,关注,guan zhu
350,感觉,gan jue
351,转,zhuan
352,领导,ling dao
353,日本,ri ben
354,实现,shi xian
355,安全,an quan
356,学习,xue xi
357,能够,neng gou
358,超,chao
359,称,cheng
360,达到,da dao
361,别,bie
362,完成,wan cheng
363,双,shuang
364,以上,yi shang
365,全,quan
366,先,xian
367,加,jia
368,入,ru
369,件,jian
370,过程,guo cheng
371,连,lian
372,政策,zheng ce
373,正,zheng
374,占,zhan
375,行,xing
376,环境,huan jing
377,信息,xin xi
378,设计,she ji
379,存在,cun zai
380,开发,kai fa
381,具有,ju you
382,到了,dao le
383,中心,zhong xin
384,信,xin
385,强,qiang
386,事情,shi qing
387,低,di
388,决定,jue ding
389,朋友,peng you
390,均,jun
391,标准,biao zhun
392,去年,qu nian
393,那个,na ge
394,有些,you xie
395,便,bian
396,方法,fang fa
397,部分,bu fen
398,个人,ge ren
399,然后,ran hou
400,会议,hui yi
401,提出,ti chu
402,面,mian
403,昨天,zuo tian
404,之间,zhi jian
405,单,dan
406,合作,he zuo
407,各种,ge zhong
408,学校,xue xiao
409,方,fang
410,么,me
411,成功,cheng gong
412,水平,shui ping
413,代表,dai biao
414,达,da
415,以后,yi hou
416,坚持,jian chi
417,介绍,jie shao
418,单位,dan wei
419,处,chu
